EnglishName,ScientificName,Introduced,BCR,State,Country,PopulationEstimate,LCL,UCL
Plain Chachalaca,Ortalis vetula,0,36,TX,USA,,,
Mountain Quail,Oreortyx pictus,0,15,CA,USA,87057.00,46644.00,152013.00
Mountain Quail,Oreortyx pictus,0,32,CA,USA,84155.00,40709.00,150561.00
Mountain Quail,Oreortyx pictus,0,5,CA,USA,39305.00,18336.00,73086.00
Mountain Quail,Oreortyx pictus,0,5,OR,USA,17879.00,8248.00,32418.00
Mountain Quail,Oreortyx pictus,0,9,CA,USA,14689.00,2973.00,39369.00
Mountain Quail,Oreortyx pictus,0,9,OR,USA,4740.00,639.00,11837.00
Mountain Quail,Oreortyx pictus,0,10,OR,USA,1926.00,215.00,5491.00
Mountain Quail,Oreortyx pictus,0,15,NV,USA,908.00,487.00,1586.00
Mountain Quail,Oreortyx pictus,0,5,WA,USA,166.00,0.00,843.00
Northern Bobwhite,Colinus virginianus,0,19,OK,USA,,,
Northern Bobwhite,Colinus virginianus,0,19,KS,USA,,,
Northern Bobwhite,Colinus virginianus,0,19,TX,USA,,,
Northern Bobwhite,Colinus virginianus,0,22,MO,USA,,,
Northern Bobwhite,Colinus virginianus,0,36,TX,USA,,,
Northern Bobwhite,Colinus virginianus,0,22,KS,USA,,,
Northern Bobwhite,Colinus virginianus,0,19,NE,USA,,,
Northern Bobwhite,Colinus virginianus,0,22,IL,USA,,,
Northern Bobwhite,Colinus virginianus,0,21,TX,USA,,,
Northern Bobwhite,Colinus virginianus,0,27,GA,USA,,,
Northern Bobwhite,Colinus virginianus,0,18,TX,USA,,,
Northern Bobwhite,Colinus virginianus,0,37,TX,USA,,,
Northern Bobwhite,Colinus virginianus,0,24,MO,USA,,,
Northern Bobwhite,Colinus virginianus,0,24,KY,USA,,,
Northern Bobwhite,Colinus virginianus,0,21,OK,USA,,,
Northern Bobwhite,Colinus virginianus,0,31,FL,USA,,,
Northern Bobwhite,Colinus virginianus,0,27,NC,USA,,,
Northern Bobwhite,Colinus virginianus,0,27,FL,USA,,,
Northern Bobwhite,Colinus virginianus,0,22,IA,USA,,,
Northern Bobwhite,Colinus virginianus,0,27,MS,USA,,,
Northern Bobwhite,Colinus virginianus,0,27,AL,USA,,,
Northern Bobwhite,Colinus virginianus,0,20,TX,USA,,,
Northern Bobwhite,Colinus virginianus,0,24,IN,USA,,,
Northern Bobwhite,Colinus virginianus,0,27,SC,USA,,,
Northern Bobwhite,Colinus virginianus,0,25,OK,USA,,,
Northern Bobwhite,Colinus virginianus,0,22,OK,USA,,,
Northern Bobwhite,Colinus virginianus,0,24,IL,USA,,,
Northern Bobwhite,Colinus virginianus,0,24,AR,USA,,,
Northern Bobwhite,Colinus virginianus,0,22,IN,USA,,,
Northern Bobwhite,Colinus virginianus,0,35,TX,USA,,,
Northern Bobwhite,Colinus virginianus,0,25,AR,USA,,,
Northern Bobwhite,Colinus virginianus,0,24,TN,USA,,,
Northern Bobwhite,Colinus virginianus,0,27,VA,USA,,,
Northern Bobwhite,Colinus virginianus,0,29,VA,USA,,,
Northern Bobwhite,Colinus virginianus,0,26,MO,USA,,,
Northern Bobwhite,Colinus virginianus,0,18,NM,USA,,,
