"cell_id","cell_area","cell_sum","cell_sum_se","week","season","cell_area_sum","cell_sum_sum","cell_sum_sum_se"
1,1191,0.237919021397829,0.02019174155419,2018-01-04,"nonbreeding",40471,1.11109746061265,0.0748485799328938
2,5473,0.811145128682256,0.0700954510831772,2018-01-04,"nonbreeding",40471,1.11109746061265,0.0748485799328938
3,5595,0,0,2018-01-04,"nonbreeding",40471,1.11109746061265,0.0748485799328938
4,5659,0.0620333105325699,0.016769950161688,2018-01-04,"nonbreeding",40471,1.11109746061265,0.0748485799328938
5,5659,0,0,2018-01-04,"nonbreeding",40471,1.11109746061265,0.0748485799328938
6,5659,0,0,2018-01-04,"nonbreeding",40471,1.11109746061265,0.0748485799328938
7,5648,0,0,2018-01-04,"nonbreeding",40471,1.11109746061265,0.0748485799328938
8,5587,0,0,2018-01-04,"nonbreeding",40471,1.11109746061265,0.0748485799328938
1,1191,0.183066034689546,0.0110734087632297,2018-01-11,"nonbreeding",40471,0.943923069164157,0.0630088829835924
2,5473,0.760857034474611,0.0620282109463304,2018-01-11,"nonbreeding",40471,0.943923069164157,0.0630088829835924
3,5595,0,0,2018-01-11,"nonbreeding",40471,0.943923069164157,0.0630088829835924
4,5659,0,0,2018-01-11,"nonbreeding",40471,0.943923069164157,0.0630088829835924
5,5659,0,0,2018-01-11,"nonbreeding",40471,0.943923069164157,0.0630088829835924
6,5659,0,0,2018-01-11,"nonbreeding",40471,0.943923069164157,0.0630088829835924
7,5648,0,0,2018-01-11,"nonbreeding",40471,0.943923069164157,0.0630088829835924
8,5587,0,0,2018-01-11,"nonbreeding",40471,0.943923069164157,0.0630088829835924
1,1191,0.219657925888896,0.0152892470067257,2018-01-18,"nonbreeding",40471,0.630552822723985,0.0552169567191316
2,5473,0.410894896835089,0.05305799878708,2018-01-18,"nonbreeding",40471,0.630552822723985,0.0552169567191316
3,5595,0,0,2018-01-18,"nonbreeding",40471,0.630552822723985,0.0552169567191316
4,5659,0,0,2018-01-18,"nonbreeding",40471,0.630552822723985,0.0552169567191316
5,5659,0,0,2018-01-18,"nonbreeding",40471,0.630552822723985,0.0552169567191316
6,5659,0,0,2018-01-18,"nonbreeding",40471,0.630552822723985,0.0552169567191316
7,5648,0,0,2018-01-18,"nonbreeding",40471,0.630552822723985,0.0552169567191316
