"species","pif_est_na_sum","pif_est_na_sum_se","season","week","n_migs","n_migs_se"
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-01-04,24.6019124799367,3.77290218364282
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-01-11,29.0204466011121,3.67201376976728
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-01-18,20.7305150472375,3.1703082547927
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-01-25,10.889726977453,1.10316518732551
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-02-01,11.2581931640165,0.820724740948474
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-02-08,16.3439415947344,2.18066483133818
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-02-15,15.2943447596867,1.5855418951776
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-02-22,15.6578446015686,1.36652988225718
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-03-01,4.84612188022933,0.344374456520507
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-03-08,4.55300977801457,0.415600053776074
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-03-15,0.517807939119219,1.05669123144683
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-03-22,1.58961968373564,0.471841965840227
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-03-29,320.432488384874,33.3958175233787
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-04-05,11961.4124272864,660.709347697356
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-04-12,71618.286756834,3841.76003174973
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-04-19,151080.940652128,8064.68147150431
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-04-26,236443.504314652,12611.6248251881
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-05-03,355221.662065709,18935.4908525575
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-05-10,416121.946935785,22179.5513745548
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-05-17,456543.722850539,24330.9026099343
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-05-24,431735.593590622,23009.3197898317
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-05-31,280836.477509857,14974.9507999129
"Yellow Warbler",92640979,4935720.10178117,"prebreeding_migration",2018-06-07,196262.512004637,10468.9788782298
"Yellow Warbler",92640979,4935720.10178117,"breeding",2018-06-14,154326.434871785,8239.68664721292
"Yellow Warbler",92640979,4935720.10178117,"breeding",2018-06-21,101142.931963487,5411.150825972
"Yellow Warbler",92640979,4935720.10178117,"breeding",2018-06-28,83361.4657545598,4462.08037928237
"Yellow Warbler",92640979,4935720.10178117,"breeding",2018-07-06,76406.4128269921,4092.7444094427
"Yellow Warbler",92640979,4935720.10178117,"breeding",2018-07-13,74769.9464304088,4006.50580715819
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-07-20,64732.8284970604,3470.61736382072
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-07-27,74224.2397563226,3968.08518226068
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-08-03,94943.4296897827,5068.52035107158
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-08-10,116978.124828468,6238.87392624247
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-08-17,159758.143203267,8516.06972143134
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-08-24,196068.738210761,10450.2493875433
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-08-31,236908.522184993,12625.8634029338
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-09-07,263079.987909346,14020.6010022091
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-09-14,278591.657814321,14847.7060168944
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-09-21,279121.676356907,14876.2531270657
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-09-28,254572.490546389,13568.2203018494
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-10-05,181723.265145752,9686.04306741366
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-10-12,88921.2445017891,4740.92659433298
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-10-19,5626.67795200765,302.804961212746
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-10-26,254.792332965469,16.5999946835878
"Yellow Warbler",92640979,4935720.10178117,"postbreeding_migration",2018-11-02,113.909573599866,7.77056637297559
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-11-09,68.0288895859421,5.7246649031694
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-11-16,49.2190935011242,4.06375241646166
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-11-23,58.2752544979439,5.63302342880257
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-11-30,46.5079309922374,3.53416803960806
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-12-07,28.5608309592647,3.17101534871817
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-12-14,15.5144841452823,2.88462979193327
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-12-21,24.7794224302613,2.6282103396024
"Yellow Warbler",92640979,4935720.10178117,"nonbreeding",2018-12-28,14.5675751197277,3.30675283622822
