"cell_id","week","season","adj_cell_sum","adj_cell_sum_se","adj_cell_sum_week","adj_cell_sum_week_se","prop_week","prop_week_se"
1,2018-03-08,"prebreeding_migration",0,0,0,0,0,0
2,2018-03-08,"prebreeding_migration",0,0,0,0,0,0
3,2018-03-08,"prebreeding_migration",0,0,0,0,0,0
4,2018-03-08,"prebreeding_migration",0,0,0,0,0,0
5,2018-03-08,"prebreeding_migration",0,0,0,0,0,0
6,2018-03-08,"prebreeding_migration",0,0,0,0,0,0
7,2018-03-08,"prebreeding_migration",0,0,0,0,0,0
8,2018-03-08,"prebreeding_migration",0,0,0,0,0,0
1,2018-03-15,"prebreeding_migration",0,0,0,0,0,0
2,2018-03-15,"prebreeding_migration",0,0,0,0,0,0
3,2018-03-15,"prebreeding_migration",0,0,0,0,0,0
4,2018-03-15,"prebreeding_migration",0,0,0,0,0,0
5,2018-03-15,"prebreeding_migration",0,0,0,0,0,0
6,2018-03-15,"prebreeding_migration",0,0,0,0,0,0
7,2018-03-15,"prebreeding_migration",0,0,0,0,0,0
8,2018-03-15,"prebreeding_migration",0,0,0,0,0,0
1,2018-03-22,"prebreeding_migration",0,0,0,0,0,0
2,2018-03-22,"prebreeding_migration",0,0,0,0,0,0
3,2018-03-22,"prebreeding_migration",0,0,0,0,0,0
4,2018-03-22,"prebreeding_migration",0,0,0,0,0,0
5,2018-03-22,"prebreeding_migration",0,0,0,0,0,0
6,2018-03-22,"prebreeding_migration",0,0,0,0,0,0
7,2018-03-22,"prebreeding_migration",0,0,0,0,0,0
8,2018-03-22,"prebreeding_migration",0,0,0,0,0,0
1,2018-03-29,"prebreeding_migration",0,0,0,0,0,0
2,2018-03-29,"prebreeding_migration",0,0,0,0,0,0
3,2018-03-29,"prebreeding_migration",0,0,0,0,0,0
4,2018-03-29,"prebreeding_migration",0,0,0,0,0,0
5,2018-03-29,"prebreeding_migration",0,0,0,0,0,0
6,2018-03-29,"prebreeding_migration",0,0,0,0,0,0
7,2018-03-29,"prebreeding_migration",0,0,0,0,0,0
8,2018-03-29,"prebreeding_migration",0,0,0,0,0,0
1,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
2,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
3,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
4,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
5,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
6,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
7,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
8,2018-04-05,"prebreeding_migration",0,0,0,0,0,0
1,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
2,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
3,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
4,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
5,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
6,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
7,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
8,2018-04-12,"prebreeding_migration",0,0,0,0,0,0
1,2018-04-19,"prebreeding_migration",88.875678271055,2.83284079048047,925.497294157745,16.1801948081697,0.0960301870487227,0.00349107610838824
2,2018-04-19,"prebreeding_migration",836.62161588669,15.9302767422952,925.497294157745,16.1801948081697,0.903969812951277,0.0233674377149797
3,2018-04-19,"prebreeding_migration",0,0,925.497294157745,16.1801948081697,0,0
4,2018-04-19,"prebreeding_migration",0,0,925.497294157745,16.1801948081697,0,0
5,2018-04-19,"prebreeding_migration",0,0,925.497294157745,16.1801948081697,0,0
6,2018-04-19,"prebreeding_migration",0,0,925.497294157745,16.1801948081697,0,0
7,2018-04-19,"prebreeding_migration",0,0,925.497294157745,16.1801948081697,0,0
8,2018-04-19,"prebreeding_migration",0,0,925.497294157745,16.1801948081697,0,0
1,2018-04-26,"prebreeding_migration",354.551063239575,3.4402651048357,10106.4258664101,25.414600657663,0.0350817458047128,0.000351649633769949
2,2018-04-26,"prebreeding_migration",3274.59651865065,17.7048996235515,10106.4258664101,25.414600657663,0.324011333179037,0.0019320577249432
3,2018-04-26,"prebreeding_migration",3323.37535911799,10.9072441384584,10106.4258664101,25.414600657663,0.328837850595987,0.00135961945981912
4,2018-04-26,"prebreeding_migration",3153.90292540192,14.1998259574182,10106.4258664101,25.414600657663,0.312069070420264,0.00160933364203211
5,2018-04-26,"prebreeding_migration",0,0,10106.4258664101,25.414600657663,0,0
6,2018-04-26,"prebreeding_migration",0,0,10106.4258664101,25.414600657663,0,0
7,2018-04-26,"prebreeding_migration",0,0,10106.4258664101,25.414600657663,0,0
8,2018-04-26,"prebreeding_migration",0,0,10106.4258664101,25.414600657663,0,0
1,2018-05-03,"prebreeding_migration",906.490372255441,4.07600840424064,24264.6455602497,32.8897644285755,0.0373584839722717,0.000175447832526857
2,2018-05-03,"prebreeding_migration",6671.40525870025,18.0415045845362,24264.6455602497,32.8897644285755,0.274943445686647,0.000831699611145549
3,2018-05-03,"prebreeding_migration",7297.58933570977,12.8565364745151,24264.6455602497,32.8897644285755,0.300749883924316,0.000668520372686291
4,2018-05-03,"prebreeding_migration",6760.32117834689,17.0749492047759,24264.6455602497,32.8897644285755,0.278607868454573,0.000798625290918764
5,2018-05-03,"prebreeding_migration",0,0,24264.6455602497,32.8897644285755,0,0
6,2018-05-03,"prebreeding_migration",943.10933691263,10.3291820869401,24264.6455602497,32.8897644285755,0.0388676329341332,0.000428936250517212
7,2018-05-03,"prebreeding_migration",682.88489884139,9.12205683476719,24264.6455602497,32.8897644285755,0.0281432051890382,0.000377870695417274
8,2018-05-03,"prebreeding_migration",1002.8451794833,9.63735067504578,24264.6455602497,32.8897644285755,0.0413294798390198,0.000401107947616454
1,2018-05-10,"prebreeding_migration",1158.85136075318,4.24600934463082,38869.5977837593,39.1468600577221,0.0298138243467335,0.00011328889903363
2,2018-05-10,"prebreeding_migration",8305.66765739023,18.578230450477,38869.5977837593,39.1468600577221,0.213680308800636,0.000524177104321535
3,2018-05-10,"prebreeding_migration",9729.48367455607,14.1134034425707,38869.5977837593,39.1468600577221,0.25031089152719,0.00044203104637233
4,2018-05-10,"prebreeding_migration",8837.28926452999,18.2470963704388,38869.5977837593,39.1468600577221,0.227357363296989,0.000522311247048261
5,2018-05-10,"prebreeding_migration",1073.54220384359,14.9476209164038,38869.5977837593,39.1468600577221,0.0276190715894709,0.000385562849779145
6,2018-05-10,"prebreeding_migration",2515.97943949699,11.1092838790944,38869.5977837593,39.1468600577221,0.0647287232940761,0.000293149488247164
7,2018-05-10,"prebreeding_migration",2938.58912226558,11.635732911368,38869.5977837593,39.1468600577221,0.0756012228017804,0.000308884489501837
8,2018-05-10,"prebreeding_migration",4310.1950609237,12.4464809451021,38869.5977837593,39.1468600577221,0.110888594343124,0.000339127626862507
