"species","region","week","season","adj_count","adj_count_se"
"Western Tanager","focal_area",2018-01-04,"nonbreeding",0,0
"Western Tanager","focal_area",2018-01-11,"nonbreeding",0,0
"Western Tanager","focal_area",2018-01-18,"nonbreeding",0,0
"Western Tanager","focal_area",2018-01-25,"nonbreeding",0,0
"Western Tanager","focal_area",2018-02-01,"nonbreeding",0,0
"Western Tanager","focal_area",2018-02-08,"nonbreeding",0,0
"Western Tanager","focal_area",2018-02-15,"nonbreeding",0,0
"Western Tanager","focal_area",2018-02-22,"nonbreeding",0,0
"Western Tanager","focal_area",2018-03-01,"nonbreeding",0,0
"Western Tanager","focal_area",2018-03-08,"nonbreeding",0,0
"Western Tanager","focal_area",2018-03-15,"nonbreeding",0,0
"Western Tanager","focal_area",2018-03-22,"nonbreeding",0,0
"Western Tanager","focal_area",2018-03-29,"nonbreeding",0,0
"Western Tanager","focal_area",2018-04-05,"prebreeding_migration",0,0
"Western Tanager","focal_area",2018-04-12,"prebreeding_migration",14146.1024240354,1676.77271182549
"Western Tanager","focal_area",2018-04-19,"prebreeding_migration",72320.7493935692,6014.34175945313
"Western Tanager","focal_area",2018-04-26,"prebreeding_migration",154353.300427427,12204.9417893159
"Western Tanager","focal_area",2018-05-03,"prebreeding_migration",210777.66544687,16468.050089838
"Western Tanager","focal_area",2018-05-10,"prebreeding_migration",214993.902069918,16786.8285158939
"Western Tanager","focal_area",2018-05-17,"prebreeding_migration",203349.101541257,15906.4350762905
"Western Tanager","focal_area",2018-05-24,"prebreeding_migration",181130.034927933,14227.4088715694
"Western Tanager","focal_area",2018-05-31,"prebreeding_migration",130331.217948872,10390.6781365455
"Western Tanager","focal_area",2018-06-07,"prebreeding_migration",35157.5101352256,3225.45942257659
"Western Tanager","focal_area",2018-06-21,"breeding",2071.03536485142,860.716553632387
"Western Tanager","focal_area",2018-06-28,"breeding",0,0
"Western Tanager","focal_area",2018-07-06,"breeding",0,0
"Western Tanager","focal_area",2018-07-20,"postbreeding_migration",13748.5901439777,1648.87167191128
"Western Tanager","focal_area",2018-07-27,"postbreeding_migration",31944.6820653365,2984.84206153956
"Western Tanager","focal_area",2018-08-03,"postbreeding_migration",42282.8099616981,3756.65785430422
